# Chunk-averaged data for fix temp_profile and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount temp
205000 40 5760
  36 0.8875 143.832 308.943
  37 0.9125 143.636 304.362
  38 0.9375 144.174 301.044
  39 0.9625 143.616 304.046
  40 0.9875 144.432 304.519
240000 40 5760
  1 0.0125 144.536 295.798
  2 0.0375 143.136 294.28
  3 0.0625 144.314 295.298
  4 0.0875 144.08 296.014
  5 0.1125 144.318 300.408
  6 0.1375 144.172 305.014
  7 0.1625 144.002 305.873
  8 0.1875 144.554 301.753
  9 0.2125 143.274 302.334
  10 0.2375 144.048 302.892
  11 0.2625 143.996 301.394
  12 0.2875 144.494 304.491
  13 0.3125 143.578 298.66
  14 0.3375 143.884 299.678
  15 0.3625 144.12 298.017
  16 0.3875 143.294 294.883
  17 0.4125 144.016 298.111
  18 0.4375 144.27 296.625
  19 0.4625 144.144 301.03
  20 0.4875 143.698 304.603
  21 0.5125 143.738 305.428
  22 0.5375 143.81 307.37
  23 0.5625 144.726 313.41
  24 0.5875 143.3 316.646
  25 0.6125 143.99 305.351
  26 0.6375 143.942 303.695
  27 0.6625 144.392 291.38
  28 0.6875 144.026 293.127
  29 0.7125 143.476 299.672
  30 0.7375 144.234 302.372
  31 0.7625 143.674 303.471
  32 0.7875 144.448 308.809
  33 0.8125 144.028 307.809
  34 0.8375 144.126 302.093
  35 0.8625 143.73 299.384
  36 0.8875 144.296 304.442
  37 0.9125 143.546 299.301
  38 0.9375 144.278 308.3
  39 0.9625 144.184 307.917
  40 0.9875 144.128 302.059
245000 40 5759.999999999999
  1 0.0125 144.088 288.615
  2 0.0375 143.464 288.225
  3 0.0625 143.626 290.676
  4 0.0875 143.662 296.082
  5 0.1125 143.98 301.067
  6 0.1375 144.236 305.017
  7 0.1625 143.808 304.396
  8 0.1875 143.962 308.192
  9 0.2125 144.154 304.584
  10 0.2375 144.04 298.534
  11 0.2625 144.112 298.393
  12 0.2875 143.746 297.822
  13 0.3125 144.018 298.29
  14 0.3375 143.588 297.427
  15 0.3625 144.16 299.19
  16 0.3875 143.908 295.53
  17 0.4125 143.928 301.999
  18 0.4375 144.216 307.012
  19 0.4625 144.118 310.324
  20 0.4875 144.64 305.711
  21 0.5125 143.962 310.863
  22 0.5375 144.068 318.938
  23 0.5625 144.204 320.486
  24 0.5875 144.07 313.484
  25 0.6125 143.916 308.677
  26 0.6375 144.038 307.81
  27 0.6625 144.23 306.377
  28 0.6875 144.392 306.413
  29 0.7125 144.14 300.019
  30 0.7375 143.668 304.256
  31 0.7625 143.94 296.967
  32 0.7875 144.15 299.404
  33 0.8125 143.842 303.589
  34 0.8375 143.964 303.69
  35 0.8625 144.09 302.342
  36 0.8875 144.02 296.99
  37 0.9125 144.082 294.686
  38 0.9375 144.114 293.356
  39 0.9625 143.698 297.792
  40 0.9875 143.958 293.603
250000 40 5760
  1 0.0125 144.244 292.213
  2 0.0375 143.978 295.171
  3 0.0625 144.186 287.977
  4 0.0875 144.168 290.88
  5 0.1125 143.714 295.441
  6 0.1375 144.096 297.551
  7 0.1625 143.714 295.559
  8 0.1875 143.534 298.496
  9 0.2125 143.794 292.538
  10 0.2375 143.486 292.036
  11 0.2625 144.408 284.961
  12 0.2875 144.078 292.239
  13 0.3125 143.04 305.962
  14 0.3375 144.218 299.502
  15 0.3625 143.752 298.89
  16 0.3875 143.492 296.43
  17 0.4125 144.07 294.552
  18 0.4375 144.576 299.025
  19 0.4625 143.808 301.731
  20 0.4875 143.97 301.072
  21 0.5125 144.31 306.685
  22 0.5375 144.032 316.776
  23 0.5625 143.974 311.407
  24 0.5875 144.41 319.925
  25 0.6125 143.618 318.827
  26 0.6375 144.418 320.871
  27 0.6625 144.102 318.845
  28 0.6875 144.52 312.837
